Nr,Cod,Denumire,Denumire scurtă,Localitate,Localitate superioară,Județ,Statut,Tip unitate,Formă de proprietate
9333,1461100381,"Liceul Pedagogic ""Bod Péter"" Târgu Secuiesc","LIC. PED. ""BOD PÉTER"" TÂRGU SECUIESC",TÂRGU SECUIESC,MUNICIPIUL TÂRGU SECUIESC,COVASNA,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9334,3161100747,"LICEUL PEDAGOGIC ""GHEORGHE ȘINCAI"" ZALĂU","LIC.PEDAGOGIC ""GH.ȘINCAI"" ZALĂU",ZALĂU,MUNICIPIUL ZALĂU,SĂLAJ,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9335,3761105214,"LICEUL PEDAGOGIC ""IOAN POPESCU"", MUNICIPIUL BÂRLAD",LIC PED BÂRLAD,BÂRLAD,MUNICIPIUL BÂRLAD,VASLUI,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9336,2161100727,"LICEUL PEDAGOGIC ""MATEI BASARAB"" SLOBOZIA","LICEUL PED.""MATEI BASARAB"" SLOBOZIA",SLOBOZIA,MUNICIPIUL SLOBOZIA,IALOMIŢA,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9337,761104849,"LICEUL PEDAGOGIC ""NICOLAE IORGA"" BOTOSANI","LICEUL PEDAGOGIC ""N. IORGA"" BOTOSANI",BOTOŞANI,MUNICIPIUL BOTOŞANI,BOTOŞANI,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9338,5161100986,"LICEUL PEDAGOGIC ""ȘTEFAN BĂNULESCU"" CĂLĂRAȘI","LICEUL PEDAGOGIC ""ȘTEFAN BĂNULESCU"" CĂLĂRAȘI",CĂLĂRAŞI,MUNICIPIUL CĂLĂRAŞI,CĂLĂRAŞI,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9339,2461100822,LICEUL PEDAGOGIC „TARAS SEVCENKO” SIGHETU MARMAȚIEI,LPED T SEVCENKO SIGHET,SIGHETU MARMAŢIEI,MUNICIPIUL SIGHETU MARMAŢIEI,MARAMUREŞ,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9340,2362102477,LICEUL PENITENCIAR JILAVA,LICEUL PENITENCIAR JILAVA,JILAVA,JILAVA,ILFOV,Arondată,Unitate de învățământ,Publică de interes naţional şi local
9341,861100613,Liceul 'Petru Rareș' Feldioara,Liceul 'Petru Rareș' Feldioara,FELDIOARA,FELDIOARA,BRAŞOV,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9342,3861101204,"LICEUL „PREDA BUZESCU”, ORAȘ BERBEȘTI",LIC PREDA BUZESCU BERBESTI,BERBEŞTI,ORAŞ BERBEŞTI,VÂLCEA,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9343,1061204977,"LICEUL ""PRIMA SCHOOL"" MUNICIPIUL BUZĂU",LIC PRIMA SCHOOL,BUZĂU,MUNICIPIUL BUZĂU,BUZĂU,Cu personalitate juridică,Unitate de învățământ,Privată
9344,2061100475,"LICEUL ""PROF. BORA TIT LIVIU"" BARU","LICEUL ""PROF. BORA TIT LIVIU"" BARU",PETROS,BARU,HUNEDOARA,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9345,4061204784,Liceul „Profesia”,Liceul Profesia,BUCUREŞTI SECTORUL 3,MUNICIPIUL BUCUREŞTI,MUNICIPIUL BUCUREŞTI,Cu personalitate juridică,Unitate de învățământ,Privată
9346,2261104485,"LICEUL ""PROFESOR MIHAI DUMITRIU"", VALEA LUPULUI",LICEUL VALEA LUPULUI,VALEA LUPULUI,VALEA LUPULUI,IAŞI,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9347,3761205135,"LICEUL ""RADU MIRON"", MUNICIPIUL VASLUI",LIC RMIRON VS,VASLUI,MUNICIPIUL VASLUI,VASLUI,Cu personalitate juridică,Unitate de învățământ,Privată
9348,561100952,"LICEUL REFORMAT „LORÁNTFFY ZSUZSANNA"" ORADEA","LICEUL REFORMAT „LORÁNTFFY ZSUZSANNA"" ORADEA",ORADEA,MUNICIPIUL ORADEA,BIHOR,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9349,3061101822,LICEUL REFORMAT SATU MARE,LICTEO REFORMAT SM,SATU MARE,MUNICIPIUL SATU MARE,SATU MARE,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9350,3161100955,"LICEUL REFORMAT ""WESSELENYI"" ZALĂU","LIC.REFORMAT ""WESSELENYI"" ZALĂU",ZALĂU,MUNICIPIUL ZALĂU,SĂLAJ,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9351,1361105184,LICEUL ’REGELE CAROL I’ OSTROV,LIC OSTROV,OSTROV,OSTROV,CONSTANŢA,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9352,761105045,"LICEUL ""REGINA MARIA"" DOROHOI","LICEUL ""REGINA MARIA"" DOROHOI",DOROHOI,MUNICIPIUL DOROHOI,BOTOŞANI,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9353,782105548,Liceul Regina Maria Dorohoi - secție CSS,Liceul Regina Maria Dorohoi - sectie CSS,DOROHOI,MUNICIPIUL DOROHOI,BOTOŞANI,Arondată,Club sportiv şcolar,Publică de interes naţional şi local
9354,3061101302,"LICEUL ROMANO-CATOLIC ""JOSEPHUS CALASANTIUS"" CAREI",LIC ROM-CAT CAREI,CAREI,MUNICIPIUL CAREI,SATU MARE,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9355,3261203873,LICEUL ROMÂNO - FINLANDEZ ERI SIBIU,LIC ROMÂNO-FINLANDEZ ERI SIBIU,SIBIU,MUNICIPIUL SIBIU,SIBIU,Cu personalitate juridică,Unitate de învățământ,Privată
9356,4061205699,Liceul „Româno-Finlandez”,Liceul „Româno-Finlandez”,BUCUREŞTI SECTORUL 6,MUNICIPIUL BUCUREŞTI,MUNICIPIUL BUCUREŞTI,Cu personalitate juridică,Unitate de învățământ,Privată
9357,3861101276,"LICEUL SANITAR „ANTIM IVIREANU”, MUNICIPIUL RÂMNICU VÂLCEA",LIC SANITAR A.IVIREANU RM.VALCEA,RÂMNICU VÂLCEA,MUNICIPIUL RÂMNICU VÂLCEA,VÂLCEA,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9358,561100762,"LICEUL SANITAR „VASILE VOICULESCU"" ORADEA","LICEUL SANITAR „V. VOICULESCU"" ORADEA",ORADEA,MUNICIPIUL ORADEA,BIHOR,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9359,261100771,"LICEUL ""SEVER BOCU"" LIPOVA","LICEUL ""SEVER BOCU"" LIPOVA",LIPOVA,ORAŞ LIPOVA,ARAD,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9360,861100509,Liceul 'Sextil Pușcariu' Bran,Liceul Bran,BRAN,BRAN,BRAŞOV,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9361,2661104886,LICEUL SILVIC „REGELE MIHAI I” GURGHIU,LIC. SILVIC „REGELE MIHAI I” GURGHIU,GURGHIU,GURGHIU,MUREŞ,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9362,661100082,"LICEUL SILVIC ""TRANSILVANIA"" NĂSĂUD","LIC SILVIC ""TRANSILVANIA"" NĂSĂUD",NĂSĂUD,ORAŞ NĂSĂUD,BISTRIŢA-NĂSĂUD,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9363,3961101053,"LICEUL ""SIMION MEHEDINȚI"" VIDRA","LIC. ""SIMION MEHEDINȚI"" VIDRA",VIDRA,VIDRA,VRANCEA,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9364,2961102744,"LICEUL ""SIMION STOLNICU"", ORAȘUL COMARNIC","LICEUL ""S.STOLNICU"" COMARNIC",COMARNIC,ORAŞ COMARNIC,PRAHOVA,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9365,2261105509,"LICEUL SPECIAL ”MOLDOVA”, TÂRGU FRUMOS",LIC SPEC ”MOLDOVA” TG. FRUMOS,TÂRGU FRUMOS,ORAŞ TÂRGU FRUMOS,IAŞI,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9366,1261103595,LICEUL SPECIAL PENTRU DEFICIENȚI DE VEDERE CLUJ-NAPOCA,LICEUL SPECIAL PENTRU DEFICIENȚI DE VEDERE CLUJ,CLUJ-NAPOCA,MUNICIPIUL CLUJ-NAPOCA,CLUJ,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9367,1061104658,LICEUL SPECIAL PENTRU DEFICIENȚI DE VEDERE MUNICIPIUL BUZĂU,LSDV BZ,BUZĂU,MUNICIPIUL BUZĂU,BUZĂU,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9368,261100916,"LICEUL SPECIAL ""SFÂNTA MARIA"" ARAD","LICEUL SPECIAL ""SFÂNTA MARIA"" ARAD",ARAD,MUNICIPIUL ARAD,ARAD,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9369,3761105223,"LICEUL ""ȘTEFAN CEL MARE"", SAT CODĂEȘTI",LIC CODĂEȘTI,CODĂEŞTI,CODĂEŞTI,VASLUI,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9370,761104926,LICEUL „ȘTEFAN D. LUCHIAN” ȘTEFĂNEȘTI,"LICEUL""STEFAN D. LUCHIAN’’ STEFANESTI",ŞTEFĂNEŞTI,ORAŞ ŞTEFĂNEŞTI,BOTOŞANI,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9371,2861101315,"LICEUL ""ȘTEFAN DIACONESCU"" POTCOAVA","LICEUL ""ST.DIACONESCU"" POTCOAVA",POTCOAVA,ORAŞ POTCOAVA,OLT,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9372,3761104371,"LICEUL ""ȘTEFAN PROCOPIU"", MUNICIPIUL VASLUI",LIC ȘTEFAN PROCOPIU,VASLUI,MUNICIPIUL VASLUI,VASLUI,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9373,861101632,Liceul 'Șt.O.Iosif' Rupea,Liceul 'Șt.O.Iosif' Rupea,RUPEA,ORAŞ RUPEA,BRAŞOV,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9374,2961102771,"LICEUL TEHNOLOGIC ADMINISTRATIV ȘI DE SERVICII ""VICTOR SLĂVESCU"", MUNICIPIUL PLOIEȘTI",LICEUL TEHNOLOGIC ’VICTOR SLAVESCU’ PL,PLOIEŞTI,MUNICIPIUL PLOIEŞTI,PRAHOVA,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9375,162103364,"LICEUL TEHNOLOGIC AGRICOL ""ALEXANDRU BORZA"" CIUMBRUD","LIC.TEH. ""A. BORZA""CIUMBRUD",CIUMBRUD,MUNICIPIUL AIUD,ALBA,Arondată,Unitate de învățământ,Publică de interes naţional şi local
9376,2061103347,"LICEUL TEHNOLOGIC AGRICOL ""ALEXANDRU BORZA"" GEOAGIU","LICEUL AGRICOL ""ALEXANDRU BORZA"" GEOAGIU",GEOAGIU,ORAŞ GEOAGIU,HUNEDOARA,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9377,2461100053,LICEUL TEHNOLOGIC AGRICOL „ALEXIU BERINDE” SEINI,LTHA A BERINDE SEINI,SEINI,ORAŞ SEINI,MARAMUREŞ,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9378,661101499,LICEUL TEHNOLOGIC AGRICOL BECLEAN,LIC TEH AGRICOL BECLEAN,BECLEAN,ORAŞ BECLEAN,BISTRIŢA-NĂSĂUD,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9379,661100815,LICEUL TEHNOLOGIC AGRICOL BISTRIȚA,LIC TEH AGRICOL BISTRIȚA,BISTRIŢA,MUNICIPIUL BISTRIŢA,BISTRIŢA-NĂSĂUD,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9380,2961101883,"LICEUL TEHNOLOGIC AGRICOL, COMUNA BĂRCĂNEȘTI",LICEUL TEHNOLOGIC AGRICOL BARCANESTI,BĂRCĂNEŞTI,BĂRCĂNEŞTI,PRAHOVA,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9381,1061105053,LICEUL TEHNOLOGIC AGRICOL COMUNA SMEENI,LIC TEH SMEENI,SMEENI,SMEENI,BUZĂU,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9382,3661100613,"LICEUL TEHNOLOGIC AGRICOL ""NICOLAE CORNĂȚEANU"" TULCEA",LICEUL AGRICOL TULCEA,TULCEA,MUNICIPIUL TULCEA,TULCEA,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9383,2261104734,"LICEUL TEHNOLOGIC AGRICOL ""OLGA STURDZA"", MIROSLAVA",LIC TEH AGR MIROSLAVA,MIROSLAVA,MIROSLAVA,IAŞI,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9384,561100916,"LICEUL TEHNOLOGIC AGROINDUSTRIAL „TAMÁSI ÁRON"" BORȘ","LICEUL TEHNOLOGIC AGROINDUSTRIAL „T. ÁRON"" BORȘ",BORŞ,BORŞ,BIHOR,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9385,2961103035,"LICEUL TEHNOLOGIC AGROMONTAN ""ROMEO CONSTANTINESCU"", ORAȘUL VĂLENII DE MUNTE","LICEUL TEHN.""R.CONSTANTINESCU"" VALENI DE MUNTE",VĂLENII DE MUNTE,ORAŞ VĂLENII DE MUNTE,PRAHOVA,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9386,161103337,LICEUL TEHNOLOGIC AIUD,LIC. TEH. AIUD,AIUD,MUNICIPIUL AIUD,ALBA,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9387,1261102291,"LICEUL TEHNOLOGIC ""ALEXANDRU BORZA"" CLUJ-NAPOCA","LICEUL TEHNOLOGIC ""ALEXANDRU BORZA"" CLUJ-NAPOCA",CLUJ-NAPOCA,MUNICIPIUL CLUJ-NAPOCA,CLUJ,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9388,161100022,"LICEUL TEHNOLOGIC ""ALEXANDRU DOMȘA"" ALBA IULIA","LIC.TEHN. ""AL.DOMȘA"" ALBA IULIA",ALBA IULIA,MUNICIPIUL ALBA IULIA,ALBA,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9389,2461100112,LICEUL TEHNOLOGIC „ALEXANDRU FILIPAȘCU” PETROVA,LTH A FILIPASCU PETROVA,PETROVA,PETROVA,MARAMUREŞ,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9390,3761104154,"LICEUL TEHNOLOGIC ""ALEXANDRU IOAN CUZA"", MUNICIPIUL BÂRLAD",LIC_TEHN AL.I.CUZA,BÂRLAD,MUNICIPIUL BÂRLAD,VASLUI,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9391,1061104518,"LICEUL TEHNOLOGIC ""ALEXANDRU IOAN CUZA"" MUNICIPIUL BUZĂU",LICEUL CUZA BUZĂU,BUZĂU,MUNICIPIUL BUZĂU,BUZĂU,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9392,3961105351,"LICEUL TEHNOLOGIC ""ALEXANDRU IOAN CUZA"" PANCIU","LIC. TEHN. ""ALEXANDRU IOAN CUZA"" PANCIU",PANCIU,ORAŞ PANCIU,VRANCEA,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9393,1661105252,"LICEUL TEHNOLOGIC ""ALEXANDRU MACEDONSKI"" MELINEȘTI",LICEUL MELINESTI,MELINEŞTI,MELINEŞTI,DOLJ,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9394,461107576,LICEUL TEHNOLOGIC „ALEXANDRU VLAHUȚĂ” PODU TURCULUI,LICEUL TEH „AL. VLAHUȚĂ” P. TURCULUI,PODU TURCULUI,PODU TURCULUI,BACĂU,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9395,761105407,LICEUL TEHNOLOGIC „ALEXANDRU VLAHUȚĂ” ȘENDRICENI,LIC. TEHN. AL.VLAHUȚĂ ȘENDRICENI,ŞENDRICENI,ŞENDRICENI,BOTOŞANI,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9396,2861101324,"LICEUL TEHNOLOGIC ""ALEXE MARIN"" SLATINA","LICEUL TEHN ""ALEXE MARIN"" SLATINA",SLATINA,MUNICIPIUL SLATINA,OLT,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9397,2161100998,"LICEUL TEHNOLOGIC ""AL.IOAN CUZA"" SLOBOZIA","LICEUL TEH.""AL.IOAN CUZA"" SLOBOZIA",SLOBOZIA,MUNICIPIUL SLOBOZIA,IALOMIŢA,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9398,3461101368,"LICEUL TEHNOLOGIC ""ANDREI ȘAGUNA"" BOTOROAGA","LTH ""ANDREI ȘAGUNA"" BOTOROAGA",BOTOROAGA,BOTOROAGA,TELEORMAN,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9399,961100159,"LICEUL TEHNOLOGIC ""ANGHEL SALIGNY""","LICEUL TEHNOLOGIC ""ANGHEL SALIGNY""",BRĂILA,MUNICIPIUL BRĂILA,BRĂILA,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9400,461104537,LICEUL TEHNOLOGIC „ANGHEL SALIGNY” BACĂU,LICEUL TEHNOLOGIC A.SALIGNY BACĂU,BACĂU,MUNICIPIUL BACĂU,BACĂU,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9401,2461101149,LICEUL TEHNOLOGIC „ANGHEL SALIGNY” BAIA MARE,LT A SALIGNY BM,BAIA MARE,MUNICIPIUL BAIA MARE,MARAMUREŞ,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9402,2161100754,"LICEUL TEHNOLOGIC ""ANGHEL SALIGNY"" FETEŞTI","LICEUL TEH""ANGHEL SALIGNY"" FETEŞTI",FETEŞTI,MUNICIPIUL FETEŞTI,IALOMIŢA,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9403,1761101717,"LICEUL TEHNOLOGIC ""ANGHEL SALIGNY"", MUNICIPIUL GALAȚI","LIC.TEH.""A.SALIGNY"" GL",GALAŢI,MUNICIPIUL GALAŢI,GALAŢI,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9404,2961102848,"LICEUL TEHNOLOGIC ""ANGHEL SALIGNY"", MUNICIPIUL PLOIEȘTI","LICEUL TEHNOLOGIC ""ANGHEL SALIGNY"" PLOIESTI",PLOIEŞTI,MUNICIPIUL PLOIEŞTI,PRAHOVA,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9405,3461100037,"LICEUL TEHNOLOGIC ""ANGHEL SALIGNY"" ROȘIORI DE VEDE","LTH ""ANGHEL SALIGNY"" ROȘIORI DE VEDE",ROSIORI DE VEDE,MUNICIPIUL ROŞIORI DE VEDE,TELEORMAN,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9406,3661100423,"LICEUL TEHNOLOGIC ""ANGHEL SALIGNY"" TULCEA","LICEUL ""A. SALIGNY"" TULCEA",TULCEA,MUNICIPIUL TULCEA,TULCEA,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9407,3061102434,"LICEUL TEHNOLOGIC ""ANGHEL SALIGNY"" TURȚ","LTEH ""ANGHEL SALIGNY"" TURȚ",TURŢ,TURŢ,SATU MARE,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9408,1461100422,"Liceul Tehnologic ""Apor Péter"" Târgu Secuiesc","LIC. TEHN. ""APOR PÉTER"" TÂRGU SECUIESC",TÂRGU SECUIESC,MUNICIPIUL TÂRGU SECUIESC,COVASNA,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9409,3061102529,LICEUL TEHNOLOGIC ARDUD,LTEH ARDUD,ARDUD,ORAŞ ARDUD,SATU MARE,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9410,2761102652,"LICEUL TEHNOLOGIC „ARHIMANDRIT CHIRIAC NICOLAU”, COMUNA VÂNĂTORI-NEAMȚ","L TEH „ARHIM. CHIRIAC NICOLAU”, VÂNĂTORI-NEAMȚ",VÂNĂTORI-NEAMŢ,VÂNĂTORI-NEAMŢ,NEAMŢ,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9411,361104172,"LICEUL TEHNOLOGIC ""ASTRA"" PITEȘTI",LIC.TEH. ASTRA PITEȘTI,PITEŞTI,MUNICIPIUL PITEŞTI,ARGEŞ,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9412,2661108171,LICEUL TEHNOLOGIC „AUREL PERSU” TÂRGU MUREȘ,LIC. TEHN. „A. PERSU” TG. MUREŞ,TÂRGU MUREŞ,MUNICIPIUL TÂRGU MUREŞ,MUREŞ,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9413,861101103,Liceul Tehnologic 'Aurel Vijoli' Făgăraș,Liceul Tehnologic 'Aurel Vijoli' Făgăraș,FĂGĂRAŞ,MUNICIPIUL FĂGĂRAŞ,BRAŞOV,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9414,261100613,"LICEUL TEHNOLOGIC ""AUREL VLAICU"" ARAD","LICEUL TEHNOLOGIC ""AUREL VLAICU"" ARAD",ARAD,MUNICIPIUL ARAD,ARAD,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9415,1261103003,"LICEUL TEHNOLOGIC ""AUREL VLAICU"" CLUJ-NAPOCA","LICEUL TEHNOLOGIC ""AUREL VLAICU"" CLUJ-NAPOCA",CLUJ-NAPOCA,MUNICIPIUL CLUJ-NAPOCA,CLUJ,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9416,3561100809,"LICEUL TEHNOLOGIC ""AUREL VLAICU"" LUGOJ","LIC. TEH. ""A. VLAICU"" MUN.LUGOJ",LUGOJ,MUNICIPIUL LUGOJ,TIMIŞ,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9417,1761104358,"LICEUL TEHNOLOGIC ""AUREL VLAICU"", MUNICIPIUL GALAȚI","LIC.TEH.""A.VLAICU"" GL",GALAŢI,MUNICIPIUL GALAŢI,GALAŢI,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9418,361104647,LICEUL TEHNOLOGIC AUTO CÂMPULUNG,LIC.TEH. AUTO CÂMPULUNG,CÂMPULUNG,MUNICIPIUL CÂMPULUNG,ARGEŞ,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9419,1661105365,LICEUL TEHNOLOGIC AUTO CRAIOVA,LICEUL AUTO CRAIOVA,CRAIOVA,MUNICIPIUL CRAIOVA,DOLJ,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9420,361104014,LICEUL TEHNOLOGIC AUTO CURTEA DE ARGEȘ,LIC.TEH. AUTO CURTEA DE AG,CURTEA DE ARGEŞ,MUNICIPIUL CURTEA DE ARGEŞ,ARGEŞ,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9421,3261101543,LICEUL TEHNOLOGIC AUTOMECANICA MEDIAȘ,LIC TEHN AUTOMECANICA MEDIAȘ,MEDIAŞ,MUNICIPIUL MEDIAŞ,SIBIU,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9422,3261102051,"LICEUL TEHNOLOGIC ""AVRAM IANCU"" SIBIU","LIC TEHN ""AVRAM IANCU"" SIBIU",SIBIU,MUNICIPIUL SIBIU,SIBIU,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9423,2661104529,LICEUL TEHNOLOGIC „AVRAM IANCU” TÂRGU MUREȘ,LIC. TEHN. „A. IANCU” TG. MUREŞ,TÂRGU MUREŞ,MUNICIPIUL TÂRGU MUREŞ,MUREŞ,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9424,1361101257,LICEUL TEHNOLOGIC ’AXIOPOLIS’ CERNAVODĂ,LIC TEH ’AXIOPOLIS’ CERNAVODĂ,CERNAVODĂ,ORAŞ CERNAVODĂ,CONSTANŢA,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9425,3561100958,"LICEUL TEHNOLOGIC ""AZUR"" TIMIȘOARA","LIC.TEH. ""AZUR"" TIMIȘOARA",TIMIŞOARA,MUNICIPIUL TIMIŞOARA,TIMIŞ,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9426,1861105828,LICEUL TEHNOLOGIC BAIA DE FIER,LIC. TEH. BAIA DE FIER,BAIA DE FIER,BAIA DE FIER,GORJ,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9427,1961103761,"LICEUL TEHNOLOGIC ""BÁNYAI JÁNOS"" ODORHEIU SECUIESC","GRI ""BANYAI JANOS"" ODORHEI",ODORHEIU SECUIESC,MUNICIPIUL ODORHEIU SECUIESC,HARGHITA,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9428,2361101621,"LICEUL TEHNOLOGIC ""BARBU A. ŞTIRBEY"" BUFTEA","LICEUL TEHNOLOGIC ""BARBU A. ŞTIRBEY"" BUFTEA",BUFTEA,ORAŞ BUFTEA,ILFOV,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9429,1461100761,"Liceul Tehnologic ""Baróti Szabó Dávid"" Baraolt","LIC. TEHN. ""BARÓTI SZABÓ DÁVID"" BARAOLT",BARAOLT,ORAŞ BARAOLT,COVASNA,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9430,1861106295,LICEUL TEHNOLOGIC BÂLTENI,LIC. TEH. BÂLTENI,BÂLTENI,BÂLTENI,GORJ,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9431,1861106146,LICEUL TEHNOLOGIC BÂRSEȘTI,LIC. TEH. BÂRSEȘTI,BÂRSEŞTI,MUNICIPIUL TÂRGU JIU,GORJ,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
9432,661101237,LICEUL TEHNOLOGIC BISTRIȚA,LIC TEH BISTRIȚA,BISTRIŢA,MUNICIPIUL BISTRIŢA,BISTRIŢA-NĂSĂUD,Cu personalitate juridică,Unitate de învățământ,Publică de interes naţional şi local
